date,series_id,cost,orders,impressions,clicks
2021-02-13,Sparklight|Paid Search|Nonbrand NewWave FP,2693.32946827938,3.0,2906.0,370.0
2021-02-13,Sparklight|Paid Social|CableOne FP,728.792177661314,3.0,62125.0,130.0
2021-02-13,Sparklight|Paid Social|NewWave FP,578.845161256441,2.0,55469.0,136.0
2021-02-14,Cable One|Paid Search|Brand,420.599437968084,16.0,3015.0,560.0
2021-02-14,NewWave|Paid Search|Brand,871.177343627749,6.93,4385.7,876.15
2021-02-14,Sparklight|Paid Search|Brand,2619.059179874455,11.07,10228.3,2886.85
2021-02-14,Sparklight|Paid Search|Nonbrand CableOne FP,1366.38273423001,2.0,1867.0,132.0
2021-02-14,Sparklight|Paid Search|Nonbrand NewWave FP,2983.28023829035,6.0,2869.0,406.0
2021-02-14,Sparklight|Paid Social|CableOne FP,728.792177661314,3.0,64548.0,128.0
2021-02-14,Sparklight|Paid Social|NewWave FP,570.714106634926,2.0,56049.0,131.0
2021-02-15,Cable One|Paid Search|Brand,1008.07362601205,20.0,3664.0,768.0
2021-02-15,NewWave|Paid Search|Brand,914.0224481294445,7.92,3975.84,920.7
2021-02-15,Sparklight|Paid Search|Brand,3567.6457749351252,26.08,12590.16,3427.3
2021-02-15,Sparklight|Paid Search|Nonbrand CableOne FP,1647.38755937902,3.0,2121.0,150.0
2021-02-15,Sparklight|Paid Search|Nonbrand NewWave FP,2247.86763491008,2.0,2874.0,313.0
2021-02-15,Sparklight|Paid Social|CableOne FP,728.792177661314,3.0,65263.0,129.0
2021-02-15,Sparklight|Paid Social|NewWave FP,615.220251193578,1.0,80291.0,160.0
2021-02-16,Cable One|Paid Search|Brand,979.507157244192,19.0,3674.0,766.0
2021-02-16,NewWave|Paid Search|Brand,898.8829736750542,7.92,3972.87,918.72
2021-02-16,Sparklight|Paid Search|Brand,3423.814746510398,24.08,12590.130000000001,3427.2799999999997
2021-02-16,Sparklight|Paid Search|Nonbrand CableOne FP,1647.38755937902,3.0,2112.0,150.0
2021-02-16,Sparklight|Paid Search|Nonbrand NewWave FP,2385.93831464707,2.0,2947.0,330.0
2021-02-16,Sparklight|Paid Social|CableOne FP,728.792177661314,3.0,62784.0,131.0
2021-02-16,Sparklight|Paid Social|NewWave FP,595.920176634611,1.0,55699.0,135.0
2021-02-17,Cable One|Paid Search|Brand,967.633523121206,19.0,3729.0,777.0
2021-02-17,NewWave|Paid Search|Brand,1137.1818642559947,8.91,4961.88,1158.3
